"Task Name","Synsets","Matched Scenes","Predicates","Required Features"
"make_waffles-0","bowl.n.01,                         butter.n.01,                         cabinet.n.01,                         countertop.n.01,                         electric_mixer.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         flour.n.01,                         flour__sack.n.01,                         granulated_sugar.n.01,                         microwave.n.02,                         milk__carton.n.01,                         plate.n.04,                         raw_egg.n.01,                         salt.n.02,                         salt__shaker.n.01,                         sugar__sack.n.01,                         vanilla.n.02,                         vanilla__bottle.n.01,                         waffle.n.01,                         waffle_iron.n.01,                         whole_milk.n.01,                         yogurt.n.01,                         yogurt__carton.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                                                                                                                                                                    Pomaria_1_int,                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,","future,                         real,                         insource,                         cooked,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"make_watermelon_punch-0","blender.n.01,                         bowl.n.01,                         cabinet.n.01,                         carving_knife.n.01,                         chopping_board.n.01,                         countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         fruit_punch.n.01,                         ice_cube.n.01,                         lemon_juice.n.01,                         lemon_juice__bottle.n.01,                         lemonade.n.01,                         lemonade__bottle.n.01,                         pitcher.n.02,                         soda__can.n.01,                         tonic.n.01,                         watermelon.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         contains,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"make_white_wine_sauce-0","cabinet.n.01,                         cooked__wine_sauce.n.01,                         countertop.n.01,                         cream__carton.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         flour.n.01,                         flour__sack.n.01,                         heavy_cream.n.01,                         mason_jar.n.01,                         parsley.n.02,                         saucepan.n.01,                         stove.n.01,                         white_wine.n.01,                         wine_bottle.n.01,                         wine_sauce.n.01,","Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         contains,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"make_yams-0","countertop.n.01,                         floor.n.01,                         sink.n.01,                         stockpot.n.01,                         stove.n.01,                         water.n.06,                         yam.n.03,","Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","cooked,                         ontop,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"making_a_drink-0","carving_knife.n.01,                         countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         granulated_sugar.n.01,                         granulated_sugar__sack.n.01,                         half__lemon.n.01,                         lemon.n.01,                         sink.n.01,                         water.n.06,                         water_glass.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         contains,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"making_a_meal-0","bowl.n.01,                         cabinet.n.01,                         cooked__marinara.n.01,                         cooked__penne.n.01,                         countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         marinara.n.01,                         marinara__jar.n.01,                         meatball.n.01,                         microwave.n.02,                         pasta__box.n.01,                         penne.n.01,                         sink.n.01,                         stockpot.n.01,                         stove.n.01,                         tupperware.n.01,                         water.n.06,","Wainscott_0_garden,                                                    Wainscott_0_int,","future,                         real,                         insource,                         contains,                         cooked,                         filled,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"making_a_snack-0","cooked__black_bean.n.01,                         cooked__diced__beefsteak_tomato.n.01,                         countertop.n.01,                         diced__beefsteak_tomato.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         grated_cheese.n.01,                         melted__grated_cheese.n.01,                         microwave.n.02,                         platter.n.01,                         sack.n.01,                         tortilla_chip.n.01,                         tupperware.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                                                                                                                                                                    Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,","future,                         real,                         filled,                         covered,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"making_coffee-0","coffee_bean.n.01,                         coffee_bean__jar.n.01,                         coffee_maker.n.01,                         countertop.n.01,                         drip_coffee.n.01,                         floor.n.01,                         mug.n.04,                         sink.n.01,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         insource,                         contains,                         filled,                         ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"making_the_bed-0","bed.n.01,                         blanket.n.01,                         floor.n.01,                         hamper.n.02,                         pillow.n.01,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","overlaid,                         ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"melt_white_chocolate-0","bowl.n.01,                         countertop.n.01,                         floor.n.01,                         melted__white_chocolate.n.01,                         saucepot.n.01,                         stove.n.01,                         white_chocolate.n.01,","Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","future,                         real,                         contains,                         ontop,                         toggled_on,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"mixing_drinks-0","cola.n.02,                         cola__bottle.n.01,                         countertop.n.01,                         electric_refrigerator.n.01,                         floor.n.01,                         lime_juice.n.01,                         lime_juice__bottle.n.01,                         vodka.n.01,                         vodka__bottle.n.01,                         water_glass.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                                                                                            Pomaria_1_int,                                                                            Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                    restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         filled,                         contains,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"mopping_floors-0","bucket.n.01,                         floor.n.01,                         liquid_soap.n.01,                         sink.n.01,                         soap__bottle.n.01,                         stain.n.01,                         swab.n.02,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                    Beechwood_1_int,                                                    Benevolence_0_int,                                                                            Benevolence_2_int,                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                    Pomaria_1_int,                                                    Pomaria_2_int,                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                                                                    grocery_store_cafe,                                                    grocery_store_convenience,                                                    grocery_store_half_stocked,                                                    hall_arch_wood,                                                    hall_conference_large,                                                                            hall_train_station,                                                    hotel_gym_spa,                                                                                                    house_double_floor_lower,                                                                            house_single_floor,                                                                            office_cubicles_left,                                                    office_cubicles_right,                                                    office_large,                                                    office_vendor_machine,                                                    restaurant_asian,                                                                            restaurant_cafeteria,                                                    restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,                                                    school_biology,                                                    school_chemistry,                                                    school_computer_lab_and_infirmary,                                                    school_geography,                                                    school_gym,","ontop,                         filled,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"mopping_the_kitchen_floor-0","bucket.n.01,                         crumb.n.03,                         dirt.n.02,                         door.n.01,                         dust.n.01,                         floor.n.01,                         sink.n.01,                         swab.n.02,                         water.n.06,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                    Pomaria_1_int,                                                                                                                            Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            restaurant_asian,                                                    restaurant_brunch,                                                                            restaurant_diner,                                                    restaurant_hotel,                                                    restaurant_urban,","ontop,                         covered,                         insource,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"moving_boxes_to_storage-0","carton.n.02,                         floor.n.01,                         shelf.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                            Ihlen_0_int,                                                                            Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,","ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"moving_stuff_to_storage-0","bowling_ball.n.01,                         carton.n.02,                         floor.n.01,                         ice_skate.n.01,                         painting.n.01,                         shelf.n.01,                         textbook.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                            Ihlen_0_int,                                                                            Merom_0_garden,                                                    Merom_0_int,                                                                                                                            Pomaria_1_int,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"mowing_the_lawn-0","bunchgrass.n.01,                         floor.n.01,                         lawn.n.01,                         lawn_mower.n.01,","house_double_floor_lower,                                                                            house_single_floor,","toggled_on,                         covered,                         ontop,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"mulching-0","floor.n.01,                         lawn.n.01,                         mulch.n.01,                         mulch__bag.n.01,                         tree.n.01,                         trowel.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                    Pomaria_0_garden,                                                                                                                            Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                    house_double_floor_lower,                                                                            house_single_floor,","ontop,                         filled,                         covered,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"opening_doors-0","door.n.01,                         floor.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                    Ihlen_0_int,                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"opening_windows-0","floor.n.01,                         window.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                                                                    Merom_1_int,                                                                                                                                                    Rs_garden,                                                    Rs_int,                                                                            Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                            house_single_floor,","ontop,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organise_a_linen_closet-0","bath_towel.n.01,                         cedar_chest.n.01,                         floor.n.01,                         sheet.n.03,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                                                                                                                    Wainscott_1_int,                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         folded,                         inside,                         unfolded,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_art_supplies-0","duffel_bag.n.01,                         floor.n.01,                         marker.n.03,                         paintbrush.n.01,                         pen.n.01,                         pencil.n.01,                         sofa.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                    Benevolence_1_int,                                                                                                    Ihlen_1_int,                                                    Merom_0_garden,                                                    Merom_0_int,                                                    Merom_1_int,                                                                                                                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                                                                                                                                                                                                                                                                                                                                            house_double_floor_lower,                                                                            house_single_floor,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_boxes_in_garage-0","ball.n.01,                         cabinet.n.01,                         carton.n.02,                         floor.n.01,                         plate.n.04,                         saucepan.n.01,                         shelf.n.01,","Ihlen_0_int,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_file_cabinet-0","cabinet.n.01,                         chair.n.01,                         document.n.01,                         floor.n.01,                         folder.n.02,                         marker.n.03,                         table.n.02,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            office_large,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_items_for_yard_sale-0","book.n.02,                         coatrack.n.01,                         coffee_table.n.01,                         floor.n.01,                         hanger.n.02,                         sofa.n.01,                         sweater.n.01,                         vase.n.01,","Beechwood_0_garden,                                                                                                                                                                                                                            Merom_0_garden,                                                                                                                                                                                                    Rs_garden,                                                                            Wainscott_0_garden,                                                                                                                                                                                                                                                                                                                                                                                                                                                    house_single_floor,","ontop,                         draped,                         nextto,                         attached,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_office_documents-0","cabinet.n.01,                         floor.n.01,                         folder.n.02,                         legal_document.n.01,                         post-it.n.01,","Beechwood_0_garden,                                                    Beechwood_0_int,                                                                                                                                                                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            office_cubicles_left,                                                                            office_large,","ontop,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_school_stuff-0","backpack.n.01,                         bed.n.01,                         book.n.02,                         calculator.n.02,                         floor.n.01,                         folder.n.02,                         marker.n.03,                         pen.n.01,                         pencil.n.01,                         table.n.02,","Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                                            Pomaria_0_garden,                                                    Pomaria_0_int,                                                                                                                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,                         nextto,                         inside,","transition,            visual substance,            physical substance,            attachment,            cloth,"
"organizing_skating_stuff-0","bed.n.01,                         duffel_bag.n.01,                         floor.n.01,                         helmet.n.01,                         hockey_stick.n.01,                         ice_skate.n.01,                         lace.n.01,                         puck.n.02,","Beechwood_1_int,                                                                                                    Benevolence_2_int,                                                                            Ihlen_1_int,                                                                                                    Merom_1_int,                                                    Pomaria_0_garden,                                                    Pomaria_0_int,                                                                            Pomaria_2_int,                                                    Rs_garden,                                                    Rs_int,                                                    Wainscott_0_garden,                                                    Wainscott_0_int,                                                    Wainscott_1_int,                                                    gates_bedroom,                                                                                                                                                                                                                                                                            hotel_suite_large,                                                    hotel_suite_small,                                                                            house_double_floor_upper,                                                    house_single_floor,","ontop,                         nextto,                         inside,                         open,","transition,            visual substance,            physical substance,            attachment,            cloth,"
